orig_type,count
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
Bo,0
Mave,0
Tess,0
