replica,turn,population,sigma,network,base_SS,true_model,modelcompare,orig_type,selected_model,prop_t_mod,old_model,init_g_true,final_g,final_g_true,replicated
1,1,Mave,0.2,None,100,2,5,4,5,0,8,0,5,0,0
1,2,Mave,0.2,None,100,2,5,4,2,1,5,0,2,1,0
1,3,Mave,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,4,Mave,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,5,Mave,0.2,None,100,2,5,4,3,0,2,1,2,1,0
1,6,Mave,0.2,None,100,2,5,4,7,0,2,1,2,1,0
1,7,Mave,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,8,Mave,0.2,None,100,2,5,4,7,0,2,1,2,1,0
1,9,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,10,Mave,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,11,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,12,Mave,0.2,None,100,2,5,4,7,0,2,1,2,1,0
1,13,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,14,Mave,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,15,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,16,Mave,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,17,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,18,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,19,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,20,Mave,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,21,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,22,Mave,0.2,None,100,2,5,4,8,0,2,1,8,0,0
1,23,Mave,0.2,None,100,2,5,4,8,0,8,0,8,0,0
1,24,Mave,0.2,None,100,2,5,4,10,0,8,0,8,0,0
1,25,Mave,0.2,None,100,2,5,4,9,0,8,0,9,0,0
1,26,Mave,0.2,None,100,2,5,4,5,0,9,0,5,0,0
1,27,Mave,0.2,None,100,2,5,4,11,0,5,0,5,0,0
1,28,Mave,0.2,None,100,2,5,4,8,0,5,0,5,0,0
1,29,Mave,0.2,None,100,2,5,4,6,0,5,0,5,0,0
1,30,Mave,0.2,None,100,2,5,4,13,0,5,0,5,0,0
1,31,Mave,0.2,None,100,2,5,4,13,0,5,0,5,0,0
1,32,Mave,0.2,None,100,2,5,4,2,1,5,0,2,1,0
1,33,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,34,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,35,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,36,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,37,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,38,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,39,Mave,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,40,Mave,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,41,Mave,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,42,Mave,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,43,Mave,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,44,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,45,Mave,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,46,Mave,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,47,Mave,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,48,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,49,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,50,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,51,Mave,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,52,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,53,Mave,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,54,Mave,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,55,Mave,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,56,Mave,0.2,None,100,2,5,4,5,0,2,1,5,0,0
1,57,Mave,0.2,None,100,2,5,4,7,0,5,0,5,0,0
1,58,Mave,0.2,None,100,2,5,4,13,0,5,0,5,0,0
1,59,Mave,0.2,None,100,2,5,4,12,0,5,0,5,0,0
1,60,Mave,0.2,None,100,2,5,4,4,0,5,0,5,0,0
1,61,Mave,0.2,None,100,2,5,4,1,0,5,0,5,0,0
1,62,Mave,0.2,None,100,2,5,4,14,0,5,0,5,0,0
1,63,Mave,0.2,None,100,2,5,4,3,0,5,0,5,0,0
1,64,Mave,0.2,None,100,2,5,4,10,0,5,0,5,0,0
1,65,Mave,0.2,None,100,2,5,4,9,0,5,0,5,0,0
1,66,Mave,0.2,None,100,2,5,4,13,0,5,0,5,0,0
1,67,Mave,0.2,None,100,2,5,4,7,0,5,0,5,0,0
1,68,Mave,0.2,None,100,2,5,4,4,0,5,0,4,0,0
1,69,Mave,0.2,None,100,2,5,4,14,0,4,0,4,0,0
1,70,Mave,0.2,None,100,2,5,4,4,0,4,0,4,0,0
1,71,Mave,0.2,None,100,2,5,4,9,0,4,0,4,0,0
1,72,Mave,0.2,None,100,2,5,4,7,0,4,0,4,0,0
1,73,Mave,0.2,None,100,2,5,4,2,1,4,0,2,1,0
1,74,Mave,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,75,Mave,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,76,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,77,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,78,Mave,0.2,None,100,2,5,4,8,0,2,1,2,1,0
1,79,Mave,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,80,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,81,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,82,Mave,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,83,Mave,0.2,None,100,2,5,4,8,0,2,1,2,1,0
1,84,Mave,0.2,None,100,2,5,4,3,0,2,1,2,1,0
1,85,Mave,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,86,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,87,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,88,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,89,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,90,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,91,Mave,0.2,None,100,2,5,1,10,0,2,1,2,1,1
1,92,Mave,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,93,Mave,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,94,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,95,Mave,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,96,Mave,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,97,Mave,0.2,None,100,2,5,4,3,0,2,1,2,1,0
1,98,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,99,Mave,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,100,Mave,0.2,None,100,2,5,4,7,0,2,1,2,1,0
1,101,Mave,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,102,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,103,Mave,0.2,None,100,2,5,1,9,0,2,1,2,1,1
1,104,Mave,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,105,Mave,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,106,Mave,0.2,None,100,2,5,4,8,0,2,1,2,1,0
1,107,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,108,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,109,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,110,Mave,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,111,Mave,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,112,Mave,0.2,None,100,2,5,4,4,0,2,1,2,1,0
1,113,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,114,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,115,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,116,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,117,Mave,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,118,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,119,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,120,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,121,Mave,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,122,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,123,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,124,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,125,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,126,Mave,0.2,None,100,2,5,4,8,0,2,1,2,1,0
1,127,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,128,Mave,0.2,None,100,2,5,4,8,0,2,1,2,1,0
1,129,Mave,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,130,Mave,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,131,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,132,Mave,0.2,None,100,2,5,4,3,0,2,1,2,1,0
1,133,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,134,Mave,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,135,Mave,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,136,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,137,Mave,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,138,Mave,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,139,Mave,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,140,Mave,0.2,None,100,2,5,4,3,0,2,1,2,1,0
1,141,Mave,0.2,None,100,2,5,4,7,0,2,1,2,1,0
1,142,Mave,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,143,Mave,0.2,None,100,2,5,4,3,0,2,1,2,1,0
1,144,Mave,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,145,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,146,Mave,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,147,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,148,Mave,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,149,Mave,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,150,Mave,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,151,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,152,Mave,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,153,Mave,0.2,None,100,2,5,4,7,0,2,1,2,1,0
1,154,Mave,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,155,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,156,Mave,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,157,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,158,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,159,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,160,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,161,Mave,0.2,None,100,2,5,4,4,0,2,1,2,1,0
1,162,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,163,Mave,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,164,Mave,0.2,None,100,2,5,4,3,0,2,1,2,1,0
1,165,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,166,Mave,0.2,None,100,2,5,4,7,0,2,1,2,1,0
1,167,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,168,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,169,Mave,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,170,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,171,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,172,Mave,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,173,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,174,Mave,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,175,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,176,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,177,Mave,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,178,Mave,0.2,None,100,2,5,4,4,0,2,1,2,1,0
1,179,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,180,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,181,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,182,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,183,Mave,0.2,None,100,2,5,4,3,0,2,1,2,1,0
1,184,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,185,Mave,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,186,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,187,Mave,0.2,None,100,2,5,1,9,0,2,1,2,1,1
1,188,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,189,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,190,Mave,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,191,Mave,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,192,Mave,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,193,Mave,0.2,None,100,2,5,4,7,0,2,1,2,1,0
1,194,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,195,Mave,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,196,Mave,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,197,Mave,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,198,Mave,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,199,Mave,0.2,None,100,2,5,4,7,0,2,1,2,1,0
1,200,Mave,0.2,None,100,2,5,4,3,0,2,1,2,1,0
1,201,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,202,Mave,0.2,None,100,2,5,4,3,0,2,1,2,1,0
1,203,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,204,Mave,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,205,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,206,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,207,Mave,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,208,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,209,Mave,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,210,Mave,0.2,None,100,2,5,4,4,0,2,1,2,1,0
1,211,Mave,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,212,Mave,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,213,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,214,Mave,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,215,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,216,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,217,Mave,0.2,None,100,2,5,4,3,0,2,1,2,1,0
1,218,Mave,0.2,None,100,2,5,4,3,0,2,1,2,1,0
1,219,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,220,Mave,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,221,Mave,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,222,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,223,Mave,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,224,Mave,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,225,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,226,Mave,0.2,None,100,2,5,4,7,0,2,1,2,1,0
1,227,Mave,0.2,None,100,2,5,4,3,0,2,1,2,1,0
1,228,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,229,Mave,0.2,None,100,2,5,4,3,0,2,1,2,1,0
1,230,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,231,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,232,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,233,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,234,Mave,0.2,None,100,2,5,4,7,0,2,1,2,1,0
1,235,Mave,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,236,Mave,0.2,None,100,2,5,4,8,0,2,1,2,1,0
1,237,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,238,Mave,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,239,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,240,Mave,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,241,Mave,0.2,None,100,2,5,4,4,0,2,1,4,0,0
1,242,Mave,0.2,None,100,2,5,4,3,0,4,0,4,0,0
1,243,Mave,0.2,None,100,2,5,4,1,0,4,0,4,0,0
1,244,Mave,0.2,None,100,2,5,4,9,0,4,0,4,0,0
1,245,Mave,0.2,None,100,2,5,4,4,0,4,0,4,0,0
1,246,Mave,0.2,None,100,2,5,4,8,0,4,0,4,0,0
1,247,Mave,0.2,None,100,2,5,4,2,1,4,0,2,1,0
1,248,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,249,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,250,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,251,Mave,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,252,Mave,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,253,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,254,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,255,Mave,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,256,Mave,0.2,None,100,2,5,4,4,0,2,1,2,1,0
1,257,Mave,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,258,Mave,0.2,None,100,2,5,4,7,0,2,1,2,1,0
1,259,Mave,0.2,None,100,2,5,4,7,0,2,1,2,1,0
1,260,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,261,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,262,Mave,0.2,None,100,2,5,4,3,0,2,1,2,1,0
1,263,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,264,Mave,0.2,None,100,2,5,4,4,0,2,1,2,1,0
1,265,Mave,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,266,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,267,Mave,0.2,None,100,2,5,4,4,0,2,1,2,1,0
1,268,Mave,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,269,Mave,0.2,None,100,2,5,4,4,0,2,1,2,1,0
1,270,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,271,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,272,Mave,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,273,Mave,0.2,None,100,2,5,4,4,0,2,1,2,1,0
1,274,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,275,Mave,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,276,Mave,0.2,None,100,2,5,4,8,0,2,1,2,1,0
1,277,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,278,Mave,0.2,None,100,2,5,4,4,0,2,1,2,1,0
1,279,Mave,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,280,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,281,Mave,0.2,None,100,2,5,4,8,0,2,1,2,1,0
1,282,Mave,0.2,None,100,2,5,4,8,0,2,1,2,1,0
1,283,Mave,0.2,None,100,2,5,4,7,0,2,1,2,1,0
1,284,Mave,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,285,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,286,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,287,Mave,0.2,None,100,2,5,4,7,0,2,1,2,1,0
1,288,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,289,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,290,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,291,Mave,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,292,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,293,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,294,Mave,0.2,None,100,2,5,4,7,0,2,1,2,1,0
1,295,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,296,Mave,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,297,Mave,0.2,None,100,2,5,4,7,0,2,1,2,1,0
1,298,Mave,0.2,None,100,2,5,4,2,1,2,1,2,1,0
1,299,Mave,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,300,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,301,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,302,Mave,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,303,Mave,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,304,Mave,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,305,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,306,Mave,0.2,None,100,2,5,4,8,0,2,1,2,1,0
1,307,Mave,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,308,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,309,Mave,0.2,None,100,2,5,4,3,0,2,1,2,1,0
1,310,Mave,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,311,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,312,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,313,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,314,Mave,0.2,None,100,2,5,4,7,0,2,1,2,1,0
1,315,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,316,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,317,Mave,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,318,Mave,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,319,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,320,Mave,0.2,None,100,2,5,4,8,0,2,1,2,1,0
1,321,Mave,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,322,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,323,Mave,0.2,None,100,2,5,4,8,0,2,1,2,1,0
1,324,Mave,0.2,None,100,2,5,4,7,0,2,1,2,1,0
1,325,Mave,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,326,Mave,0.2,None,100,2,5,4,8,0,2,1,2,1,0
1,327,Mave,0.2,None,100,2,5,4,8,0,2,1,2,1,0
1,328,Mave,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,329,Mave,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,330,Mave,0.2,None,100,2,5,4,4,0,2,1,2,1,0
1,331,Mave,0.2,None,100,2,5,4,8,0,2,1,2,1,0
1,332,Mave,0.2,None,100,2,5,4,14,0,2,1,2,1,0
